,JOIN,doubleheader,temperature_fahrenheit,season_game_number,days_since_last_game,pitches_p,ba_p,iso_p,babip_p,slg_p,woba_p,xwoba_p,xba_p,hits_p,abs_p,launch_speed_p,launch_angle_p,spin_rate_p,velocity_p,effective_speed_p,whiffs_p,swings_p,takes_p,eff_min_vel_p,release_extension_p,pitcher_run_exp_p,run_exp_p,pitches_h,ba_h,iso_h,babip_h,slg_h,woba_h,xwoba_h,xba_h,hits_h,abs_h,launch_speed_h,launch_angle_h,spin_rate_h,velocity_h,effective_speed_h,whiffs_h,swings_h,takes_h,eff_min_vel_h,release_extension_h,pitcher_run_exp_h,run_exp_h,duration,score,opp_score,opp_ScoreLine,winLoss_numeric
0,45015BALDH0,0,38,1,1.0,153,0.324,0.118,0.407,0.441,0.366,0.341,0.262,11,34,90.4,4.8,2139,89.1,86.43,19,72,81,-2.7,6.52,-2.4,2.4,191,0.395,0.263,0.464,0.658,0.498,0.462,0.355,15,38,86.9,9.9,2283,87.8,81.27,13,78,113,-6.5,6.65,-5.5,5.5,190,10,9,100102032,1
1,45015BOSDH0,0,38,1,1.0,191,0.395,0.263,0.464,0.658,0.498,0.462,0.355,15,38,86.9,9.9,2283,87.8,81.27,13,78,113,-6.5,6.65,-5.5,5.5,153,0.324,0.118,0.407,0.441,0.366,0.341,0.262,11,34,90.4,4.8,2139,89.1,86.43,19,72,81,-2.7,6.52,-2.4,2.4,190,9,10,100430200,0
2,45015CHCDH0,0,42,1,1.0,133,0.138,0.0,0.235,0.138,0.206,0.234,0.161,4,29,87.6,2.9,2434,88.7,88.37,23,59,74,-0.3,5.91,4.9,-4.9,124,0.2,0.0,0.24,0.2,0.252,0.282,0.207,6,30,90.0,1.9,2556,90.5,91.02,14,59,65,0.5,6.47,0.6,-0.6,141,4,0,000000000,1
3,45015MILDH0,0,42,1,1.0,124,0.2,0.0,0.24,0.2,0.252,0.282,0.207,6,30,90.0,1.9,2556,90.5,91.02,14,59,65,0.5,6.47,0.6,-0.6,133,0.138,0.0,0.235,0.138,0.206,0.234,0.161,4,29,87.6,2.9,2434,88.7,88.37,23,59,74,-0.3,5.91,4.9,-4.9,141,0,4,00400000x,0
4,45015CINDH0,0,61,1,1.0,178,0.2,0.133,0.263,0.333,0.326,0.359,0.236,6,30,80.4,15.6,2241,92.1,86.59,19,77,101,-5.5,6.52,0.4,-0.4,165,0.212,0.182,0.353,0.394,0.321,0.296,0.191,7,33,84.4,5.4,2342,90.0,90.18,29,74,91,0.2000000000000028,6.43,0.1,-0.1,182,4,5,001300010,0
5,45015PITDH0,0,61,1,1.0,165,0.212,0.182,0.353,0.394,0.321,0.296,0.191,7,33,84.4,5.4,2342,90.0,90.18,29,74,91,0.2000000000000028,6.43,0.1,-0.1,178,0.2,0.133,0.263,0.333,0.326,0.359,0.236,6,30,80.4,15.6,2241,92.1,86.59,19,77,101,-5.5,6.52,0.4,-0.4,182,5,4,100120000,1
6,45015CWSDH0,0,73,1,1.0,141,0.133,0.1,0.188,0.233,0.205,0.276,0.176,4,30,91.9,7.1,2619,90.3,89.91,22,74,67,-0.4,6.26,3.1,-3.1,145,0.289,0.132,0.357,0.421,0.324,0.276,0.253,11,38,92.8,0.1,2375,89.6,89.03,20,75,70,-0.6,6.13,0.5,-0.5,158,3,2,000000101,1
7,45015HOUDH0,0,73,1,1.0,145,0.289,0.132,0.357,0.421,0.324,0.276,0.253,11,38,92.8,0.1,2375,89.6,89.03,20,75,70,-0.6,6.13,0.5,-0.5,141,0.133,0.1,0.188,0.233,0.205,0.276,0.176,4,30,91.9,7.1,2619,90.3,89.91,22,74,67,-0.4,6.26,3.1,-3.1,158,2,3,000000012,0
8,45015KCDH0,0,67,1,1.0,156,0.297,0.054,0.393,0.351,0.321,0.311,0.264,11,37,93.5,18.6,2335,86.8,86.96,20,76,80,0.2000000000000028,6.24,1.7,-1.7,127,0.074,0.037,0.125,0.111,0.192,0.235,0.132,2,27,87.7,8.8,2372,90.7,92.01,24,58,69,1.2999999999999972,6.94,3.9,-3.9,152,0,2,000002000,0
9,45015MINDH0,0,67,1,1.0,127,0.074,0.037,0.125,0.111,0.192,0.235,0.132,2,27,87.7,8.8,2372,90.7,92.01,24,58,69,1.2999999999999972,6.94,3.9,-3.9,156,0.297,0.054,0.393,0.351,0.321,0.311,0.264,11,37,93.5,18.6,2335,86.8,86.96,20,76,80,0.2000000000000028,6.24,1.7,-1.7,152,2,0,000000000,1
